Up to,Cents
3.2,77
4.2,87
5.2,97
6.2,107
7.2,116
8.2,123
9.2,129
10.2,133
11.2,137
12.2,141
13.2,145
14.2,149
15.2,153
16.2,157
17.2,161
18.2,165
19.2,169
20.2,172
21.2,175
22.2,178
23.2,181
24.2,183
25.2,185
26.2,187
27.2,188
28.2,189
29.2,190
30.2,191
31.2,192
32.2,193
33.2,194
34.2,195
35.2,196
36.2,197
37.2,198
38.2,199
39.2,200
40.2,201
